Chemical,Repellency_skin_YF,Repellency_skin_M,Repellency_clothes_YF,Repellency_clothes_M
"Acetone, diphenylamine reaction product",-,-,1,-
"Acetone, phenylhydrazone",-,-,1,-
"Acetone, semicarbazone",-,1,-,-
Acetonitrile,-,-,-,-
"Acetonitrile, benzoyl-",-,-,1,1
"Acetonitrile, bis(o-chlorophenyl)-",-,-,4,3
"Acetonitrile, bis(p-dimethylaminophenyl)phenyl-",-,-,1,-
"Acetonitrile, p-chlorophenyl-",1,-,-,-
"Acetonitrile, (2,4-dichlorophenyl)-",-,-,3,1
"Acetonitrile, (3,4-dichlorophenyl)-",-,-,1,1
"Acetonitrile, diphenyl-",-,-,1,-
"Acetonitrile, mesityl-",-,-,1,1
"Acetonitrile, methyleneamino-",-,-,1,-
"Acetonitrile, methylphenylamino-",2,2,4A,-
"Acetonitrile, phenyl-",1,3,-,-
"Acetonitrile, (2,4,6-triethylphenyl)-",1,2,-,-
Acetophenetidide,-,-,1,-
o-Acetophenetidide,-,-,1,1
Acetophenone,-,-,2,2
"Acetophenone, 2,4-dinitrophenylhydrazone",-,-,-,-
"Acetophenone, oxime",-,-,1,1
"Acetophenone, oxime, O-ethyl-",-,-,2,1
"Acetophenone, m-amino-",-,-,1,-
"Acetophenone, o-amino-",3,3,4A,-
"Acetophenone, p-bromo-",-,-,-,-
"Acetophenone, alpha-bromo-m-hydroxy-, benzoste",-,-,2,1
"Acetophenone, alpha-bromo-p-hydroxy-, benzoste",-,-,1,-
"Acetophenone, 3-bromo-2, 4,6-trimethyl-",1,1,-,
"Acetophenone, 2-tert-butyl-4,6-dimethyl-",-,-,1,2
"Acetophenone, 2-tert-butyl-4,6-dimethyl-3,5-dinitro-",-,-,1,1
"Acetophenone, Î±-chloro-",-,-,1,-
"Acetophenone, Î²-chloro-",1,2,-,-
"Acetophenone, Î²-chloro-, semicarbazone",-,-,1,1
"Acetophenone, alpha-chloro-Î²-phenyl-",-,-,2,2
"Acetophenone, alpha-chloro-2,4,6-trimethyl-",-,-,1,-
"Acetophenone, 3,4-dichloro-",-,-,4A,2
"Acetophenone, 3,4-dichloro-, semicarbazone",-,-,-,-
"Acetophenone, 2,4-dihydroxy-",-,-,1,1
"Acetophenone, 2,4-dihydroxy-, diacetate",-,-,1,1
"Acetophenone, 2,5-dihydroxy-",-,-,-,-
"Acetophenone, 2,4-dimethoxy-",-,-,2,1
"Acetophenone, 3,4-dimethoxy-",1,2,1,1
"Acetophenone, 2,5-dimethyl-",1,1,-,-
"Acetophenone, Î²-ethoxy-",4,4,1,-
"Acetophenone, Î²-ethyl-",1,2,-,-
"Acetophenone, alpha-eugenoxy-",-,-,1,1
"Acetophenone, alpha-furfurylidene-",-,-,2,1
"Acetophenone, m-hydroxy-",-,-,1,-
"Acetophenone, Î±-hydroxy-",1,2,-,-
"Acetophenone, Î²-hydroxy-",-,-,1,1
"Acetophenone, Î²-hydroxy-, acetate",-,-,1,1
"Acetophenone, Î²-hydroxy-, semicarbazone",-,-,-,-
"Acetophenone, alpha-hydroxy-, acetate",-,-,4,1
"Acetophenone, alpha-hydroxy-Î²-methoxy-",-,-,1,1
"Acetophenone, alpha-hydroxy-Î²-methoxy-, acetate",-,-,1,1
"Acetophenone, 4-hydroxy-3-methoxy-",-,-,1,-
"Acetophenone, Î²-isopropoxy-",-,-,4,1
"Acetophenone, Î²-isopropyl-",-,-,1,-
"Acetophenone, 5-isopropyl-2-methyl-",-,-,3,-
"Acetophenone, alpha-mesityl-",-,-,2,-
"Acetophenone, alpha-methoxy-",2,2,3,-
"Acetophenone, alpha-methoxy-alpha-phenyl-",-,-,1,1
"Acetophenone, Î±-methoxy-",2,2,2,-
"Acetophenone, Î²-methoxy-",3,4,4,1
"Acetophenone, Î²-methoxy-, oxime",-,-,1,1
"Acetophenone, 2-methoxy-5-methyl-",2,2,4,-
"Acetophenone, 4-methoxy-2-methyl-",3,2,-,-
"Acetophenone, 4-methoxy-3-methyl-",4,3,3,-
"Acetophenone, p-methyl-",-,-,2,2
"Acetophenone, p-methyl-, oxime",-,-,1,1
"Acetophenone, p-methyl-, semicarbazone",-,-,-,-
"Acetophenone, o-methylamino-",-,-,2,2
"Acetophenone, 3-methyl-4-propoxy-",1,-,-,-
"Acetophenone, m-nitro-",-,2,4,1
"Acetophenone, p-nitro-",-,-,1,-
"Acetophenone, p-phenoxy-",-,-,1,1
"Acetophenone, p-phenyl-",-,-,1,1
"Acetophenone, alpha-(p-toloxy)-",-,-,1,1
"Acetophenone, p-(2, 2, 2-trichloro-1-hydroxy- ethylamino)-",-,-,1,-
"Acetophenone, 2, 4, 6-triethyl-",2,3,-,-
"Acetophenone, 2, 4, 6-triethyl-alpha-phenyl-",2,2,4,2
"Acetophenone, 2, 4, 6-triisopropyl-alpha-phenyl-",1,2,-,-
"Acetophenone, 2, 3, 4-trimethoxy-",2,1,-,-
"Acetophenone, 2, 4, 6-trimethyl-",2,2,3,-
"Acetophenone, 2, 4, 6-trimethyl-alpha-phenyl-",1,2,2,-
m-Acetotoluidide,-,-,1,-
"m-Acetotoluidide, alpha-(2, 4-dichlorophenoxy)-",-,-,-,-
"alphaÂ³, alphaÂ³-trifluoro-",2,1,4A,-
"m-Acetotoluidide, N-ethyl-",-,-,4,1
"m-Acetotoluidide, N-methyl-",-,-,1,-
"m-Acetotoluidide, alpha, alpha, alpha-trichloro-",-,-,1,1
"m-Acetotoluidide, alpha, alpha, alpha-trifluoro-",-,-,2,1
"o-Acetotoluidide, 3-chloro-",-,-,1,-
"o-Acetotoluidide, 5-chloro-",-,-,1,-
"o-Acetotoluidide, N-ethyl-",2,2,4A,-
"o-Acetotoluidide, 4-m-tolylazo-",-,-,-,-
p-Acetotoluidide,-,-,-,-
"p-Acetotoluidide, N-ethyl-",2,3,4A,-
"p-Acetotoluidide, N-methyl-",-,-,3,1
"2, 4-Acetoxylidide, 6-nitro-",-,-,-,-
Aceturic acid,-,-,-,-
"Acetyl chloride, chlorodiphenyl-",-,-,-,-
"Acetylene, bis(2-methoxyethylmercuri)-",-,-,-,-
"Acetylene, diphenyl-",-,-,1,1
"Acetylenedicarboxylic acid, bis(2-chloroethyl) ester",2,3,2,-
"Acetylenedicarboxylic acid, diethyl ester",-,-,-,-
"Acetylenedicarboxylic acid, diisobornyl ester",2,3,1,-
Acetylsalicylic acid,-,-,2,1
"Acetylsalicylic acid, cyclohexyl ester",1,2,-,-
"Acetylsalicylic acid, ethyl ester",4,1,-,-
"Acetylsalicylic acid, isopropyl ester",3,2,1,-
"Acetylsalicylic acid, methyl ester",-,-,1,1
Aconitic acid,-,-,1,-
"Aconitic acid, tributyl ester",1,-,-,-
"Aconitic acid, triethyl ester",1,2,-,-
"Aconitic acid, trihexyl ester",-,-,1,-
"Aconitic acid, triisoamyl ester",1,1,-,-
"Aconitic acid, triisobutyl ester",-,-,1,-
"Aconitic acid, trimethyl ester",2,2,-,-
"Aconitic acid, tripropyl ester",2,2,2,-
"Aconitic acid, tris(1,3-dimethylbutyl) ester",-,-,1,-
"Aconitic acid, tris(2-ethylhexyl) ester",-,-,1,-
"Aconitic acid, tris(6-methylheptyl) ester",-,-,1,-
"Acorus calamus, roots, chloroform extract",-,-,1,-
"Acorus calamus, roots, ethanol extract",-,-,1,-
"Acorus calamus, roots, ethyl ether extract",-,-,1,-
"Acorus calamus, roots, petroleum ether extract",-,-,1,-
Acridan,-,-,-,-
"Acridan, 9-chloro-9-(p-methoxyphenyl)-10-phenyl-",-,-,-,-
"Acridan, 9,9-dimethyl-",-,-,1,1
Acridine,-,-,1,-
"Acridine, 9-(5-allyl-3-diethylaminomethyl-4-hydroxyanilino)-6-chloro-2-methoxy-, hydrochloride",-,-,-,-
"Acridine, 9-amino-, monohydrochloride, monohydrate",-,-,-,-
9(10H)-Acridone,-,-,-,-
Acrylamide,-,-,1,1
"Acrylamide, N,N-diallyl-",-,-,3,-
"Acrylamide, N,N-diethyl-",-,-,1,-
"Acrylamide, N,N-dimethyl-",-,-,1,-
"Acrylamide, N,N'-methylenebis(beta-chloro-",-,-,-,-
"Acrylamide, N,N'-methylenedi-",-,-,-,-
Acrylic acid,-,-,1,-
"Acrylic acid, allyl ester",-,-,1,-
"Acrylic acid, amyl ester",-,-,1,-
"Acrylic acid, p-tert-amylcyclohexyl ester",2,2,1,-
"Acrylic acid, benzyl ester",-,-,2,2
"Acrylic acid, 2-benzyloxyethyl ester",-,-,4A,1
"Acrylic acid, 2-bromoethyl ester",-,-,-,-
"Acrylic acid, 2-bromoisopropyl ester",1,1,-,-
"Acrylic acid, 3-bromopropyl ester",-,-,1,1
"Acrylic acid, 2-butenyl ester",-,-,1,-
"Acrylic acid, 2-(2-butoxyethoxy)ethyl ester",-,-,4A,2
"Acrylic acid, 2-butoxyethyl ester",-,-,2,1
"Acrylic acid, butyl ester",-,-,1,-
"Acrylic acid, 2-(p-tert-butylphenoxy)ethyl ester",2,2,-,-
"Acrylic acid, 2-chloroallyl ester",-,-,1,1
"Acrylic acid, 2-(2-chloroethoxy)ethyl ester",-,-,4,2
"Acrylic acid, 2-chloroethyl ester",-,-,1,1
"Acrylic acid, p-chlorophenyl ester",-,-,4A,-
"Acrylic acid, 3-chloropropyl ester",-,-,1,1
"Acrylic acid, cinnamyl ester",-,-,1,1
"Acrylic acid, 2-cyanoethyl ester",-,1,1,1
"Acrylic acid, cyclohexyl ester",1,1,-,-
"Acrylic acid, 4-cyclohexylcyclohexyl ester",-,-,1,-
"Acrylic acid, p-cyclohexylphenyl ester",-,-,1,-
"Acrylic acid, decyl ester",2,2,-,-
"Acrylic acid, 2-(2,4-diamylphenoxy)ethyl ester",-,-,1,1
"Acrylic acid, 2-(2,4-di-tert-amylphenoxy)ethyl ester",-,-,1,-
"Acrylic acid, 2,3-dibromopropyl ester",2,1,-,-
"Acrylic acid, 2-(dibutylamino)ethyl ester",1,1,2,-
"Acrylic acid, 1-(dibutylamino)propyl ester",2,2,-,-
"Acrylic acid, 2-(dibutylamino)propyl ester",-,-,1,-
"Acrylic acid, 3-(dibutylamino)propyl ester",-,-,4,-
"Acrylic acid, 1,3-dichloro-2-propyl ester",-,-,1,1
"Acrylic acid, 2,3-dichloropropyl ester",-,-,1,1
"Acrylic acid, 2-(diethylamino)ethyl ester",2,2,-,-
"Acrylic acid, 1-(diethylamino)propyl ester",-,-,2,2
"Acrylic acid, 2-(dimethylamino)ethyl ester",-,-,1,1
"Acrylic acid, 1,3-dimethyl-3-butenyl ester",1,1,-,-
"Acrylic acid, 1,3-dimethylbutyl ester",1,1,-,-
"Acrylic acid, dodecyl ester",1,1,-,-
"Acrylic acid, 2-ethoxyethyl ester",-,-,1,-
"Acrylic acid, ethyl ester",-,-,1,-
"Acrylic acid, 2-ethylbutyl ester",-,-,1,-
"Acrylic acid, 2-ethylhexyl ester",1,2,-,-
"Acrylic acid, 2-(2-ethylhexyloxy)ethyl ester",1,3,-,-
"Acrylic acid, 4-ethyl-1-isobutyloctyl ester",1,1,-,-
"Acrylic acid, 4-ethyl-1-methyloctyl ester",-,-,1,-
"Acrylic acid, furfuryl ester",-,-,-,-
"Acrylic acid, heptyl ester",-,-,1,-
"Acrylic acid, hexadecyl ester",-,-,1,-
"Acrylic acid, hexyl ester",-,-,1,-
"Acrylic acid, isobutyl ester",-,-,1,-
"Acrylic acid, 2-(2-isopropoxyethoxy)ethyl ester",-,-,1,-
"Acrylic acid, 2-isopropoxyethyl ester",-,-,3,2
"Acrylic acid, isopropyl ester",-,-,1,-
"Acrylic acid, 1-menthyl ester",1,2,-,-
"Acrylic acid, D-methoxybenzyl ester",-,-,4,1
"Acrylic acid, 2-(2-methoxyethoxy)ethyl ester",-,-,4,2
"Acrylic acid, 2-methoxyethyl ester",-,-,1,-
"Acrylic acid, methyl ester",-,-,1,-
"Acrylic acid, 1-methylallyl ester",-,-,1,1
"Acrylic acid, 2-methylallyl ester",-,-,1,-
"Acrylic acid, 2-methylamyl ester",-,-,1,1
"Acrylic acid, 2-methylbutyl ester",-,-,1,1
"Acrylic acid, 2-methylcyclohexyl ester",2,1,-,-
"Acrylic acid, 3-methylcyclohexyl ester",-,-,2,2
"Acrylic acid, 4-methylcyclohexyl ester",-,-,1,-
"Acrylic acid, 1-methylheptyl ester",-,-,1,-
"Acrylic acid, 1-methylhexyl ester",1,1,-,-
"Acrylic acid, 2-(4-morpholinyl)ethyl ester",-,-,2,2
"Acrylic acid, 2-nitrobutyl ester",-,-,2,2
"Acrylic acid, 2-nitroisobutyl ester",-,1,4,1
"Acrylic acid, 9-octadecenyl ester",-,-,1,-
"Acrylic acid, octadecyl ester",-,-,1,-
"Acrylic acid, octyl ester",-,-,1,1
"Acrylic acid, phenethyl ester",-,-,4A,2
"Acrylic acid, 2-(2-phenoxyethoxy)ethyl ester",-,-,2,1
"Acrylic acid, 2-phenoxyethyl ester",-,-,4A,-
"Acrylic acid, phenyl ester",-,-,1,-
"Acrylic acid, propyl ester",-,-,1,-
"Acrylic acid, tetradecyl ester",1,-,-,-
"Acrylic acid, tetrahydrofurfuryl ester",-,-,1,1
"Acrylic acid, o-tolyl ester",-,-,1,-
"Acrylic acid, 3, 3, 5-trimethylcyclohexyl ester",-,-,1,-
"Acrylic acid, beta-benzoyl-, dicyclohexylamine salt",-,-,1,-
"Acrylic acid, beta-benzoyl-, ethyl ester",-,-,4A,1
"Acrylic acid, beta-benzoyl-, methyl ester",-,-,2,1
"Acrylic acid, alpha-benzoyl-beta-ethoxy-, ethyl ester",1,2,-,-
"Acrylic acid, alpha, beta-dibromo-beta-formyl-alpha, beta-diphenyl-, ethyl ester",-,-,1,-
"Acrylic acid, beta-(5-methyl-2-pyridylamino)-trichloro-, sodium salt",1,2,-,-
"Acrylic acid, alpha-phenyl-acrylophenone, 2, 3, 4, 6-tetramethyl-acrylophenone, 2, 4, 6-trimethyl-acrylophenone, alpha, beta, beta-triphenyl-adenine, monosulfate",-,-,-,-
"Acrylic acid, N,N-diethyl-, ethyl ester",-,-,1,-
"Adipamic acid, N,N-diethyl-, isopropyl ester",-,-,1,-
"Adipamic acid, N,N-diethyl-, methyl ester",-,-,2,1
"Adipamic acid, N,N-diisopropyl-, ethyl ester",-,-,1,1
"Adipamic acid, N,N-diisopropyl-, methyl ester",-,-,2,1
"Adipamic acid, N,N-dimethyl-, isopropyl ester",-,-,1,-
"Adipamic acid, N,N-dipropyl-, methyl ester",-,-,-,-
Adipamide,4,2,4A,-
"Adipamide, N,N,N',N'-tetramethyl-Adipic acid",2,1,4A,-
Adipic acid,2,2,4A,-
"Adipic acid, bis(3-acetoxy-1 (or 3)-methylpropyl) ester",2,2,4,-
"Adipic acid, bis(allyl glycolate) ester",4A,2,4,-
"Adipic acid, bis(2-butoxyethyl) ester",2,2,4A,-
"Adipic acid, bis(1, 3-dichloroisopropyl) ester",2,2,4A,-
"Adipic acid, bis(2-ethoxyethyl) ester",-,-,-,-
"Adipic acid, bis(2-methoxyethyl) ester",-,-,1,1
"Adipic acid, bis(2-methoxyethyl) ester",-,-,2,1
"Adipic acid, bis(2-methoxymethoxyethyl) ester",-,-,1,-
"Adipic acid, bis(1-methylheptyl) ester",-,-,1,-
"Adipic acid, bis(tetrahydrofurfuryl) ester",1,1,-,
"Adipic acid, butyl cyclohexyl ester",1,1,-,
"Adipic acid, cyclohexyl methyl ester",2,2,-,
"Adipic acid, diallyl ester",2,2,-,
"Adipic acid, dibutyl ester",1,2,1,-
"Adipic acid, dicyclohexyl ester",1,-,1,1
"Adipic acid, didodecyl ester",-,-,1,1
"Adipic acid, diethyl ester",3,3,4A,-
"Adipic acid, dibexyl ester",1,1,-,
"Adipic acid, diisobutyl ester",3,4,1,-
"Adipic acid, diisopropyl ester",3,2,3,-
"Adipic acid, dimethyl ester",2,3,2,-
"Adipic acid, dioctyl ester",-,-,1,-
"Adipic acid, dipropyl ester",3,3,2,2
"Adipic acid, ester with triethylene glycol",1,1,-,
"Adipic acid, monobutyl ester",-,-,1,-
"Adipic acid, monoethyl ester",-,-,1,1
"Adipic acid, monoisopropyl ester",1,2,-,
"Adipic acid, monomethyl ester",1,1,-,
"Adipic acid, monopropyl ester",3,-,1,-
"Adipic acid, trimethylene ester",-,-,1,1
"Adipic acid, alpha, delta-dibromo-, diethyl ester",-,-,1,1
"Adipic acid, alpha, delta-dichloro-beta, gamma-oxy-, dibutyl ester",1,1,-,
"Adipic acid, alpha, delta-dihydroxy-",-,-,1,-
"Adipic acid, alpha, delta-dimethyl-, diallyl ester",-,-,4,-
"Adipic acid, beta-hydroxy-beta-methyl-, gamma-lactone, cyclohexyl ester",2,2,-,
"Adipic acid, beta-hydroxy-beta-methyl-, gamma-lactone, methyl ester",1,2,-,
"Adipic acid, beta-methyl-, diethyl ester",3,4,4A,-
"Adipic acid, alpha-oxo-, diethyl ester",2,2,4,-
Adiponitrile,1,1,-,
Adrenaline,-,-,-,
"Alanine, DL, N,N-bis(2-cyanoethyl)-",-,-,1,-
"Alanine, DL, N-(2-cyanoethyl)-",-,-,1,-
"Alanine, N-(2,4-dinitrophenyl)-beta-phenyl-",-,-,1,-
"Alanine, dl, beta-phenyl-",-,-,-,
beta-Alanine,-,-,1,-
"beta-Alanine, N,N-diethyl-, ethyl ester",1,1,-,
Aldarsone,-,-,-,
Aldol,-,-,-,
"Aldrin. (1, 4, 5, 8-Dimethanonaphthalene, 1, 2, 3, 4, 10, 10-hexachloro-1, 4, 4a, 5, 8, 8a-hexahydro-)",-,-,-,
Alizarin,-,-,-,
Alkyl(C12-C14) chloride,1,1,-,
Allantoin,-,-,-,
"Allethrin. (Chrysanthemumic acid, cis and trans dl, ester with dl-2-allyl-4-hydroxy-3-methyl-3-cyclopenten-1-one)",-,-,-,
Allethrolone,-,-,1,
Allocimeine,1,-,-,
Allocimeneacrolein,2,2,3,
Alloxan,-,-,-,
"Allylamine, N,N-bis(2-chloroethyl), hydrochloride",-,-,-,
"Allyl alcohol, (polymer)",-,-,1,
Allyl ether,1,1,1,
"Allyl phosphate, tri-Allyl sulfate, mono-, sodium salt",-,-,2,
Allyl sulfide,-,-,1,
Allyl sulfide,-,-,-,
Aluminum acetotartrate,-,-,1,
Aluminum chlorhydroxide complex,-,-,1,
Aluminum chloride,-,-,-,
Aluminum oxide,-,-,-,
"Amidophosphoric acid, bis(2-ethoxyethyl) ester",-,-,1,
"Amidophosphoric acid, N-hydroxymethyl-bis(2-ethoxyethyl) ester",-,-,1,
"Ammeline, thio-Ammonium chloride",-,-,-,
"Ammonium compound, alkyltrimethyl-- p-(1-methylbutyl)benzenesulfonate, (alkyl = approx. C12H25)",-,-,-,
"Ammonium compound, alkyltrimethyl-- p-(1-methylbutyl)benzenesulfonate, (alkyl = approx. C18H37)",-,-,1,
"Ammonium compound, benzyl(dimethyl-(myristamidopropyl)--- chloride",-,-,-,
"Ammonium compound, benzyldimethyloctadecyl-- chloride",-,-,2,
"Ammonium compound, benzyldimethylphenyl-- chloride",-,-,1,-
"Ammonium compound, benzyldimethyl-[2- (1, 1, 3, 3-tetramethylbutyltoloxy)ethoxy] ethyl]--- chloride",-,-,-,
"Ammonium compound, benzylhexadecyl dimethyl-- chloride",-,-,-,
"Ammonium compound, benzyltriethyl-- chloride",-,-,1,-
"Ammonium compound, benzyltrimethyl-- chloride (60-61% aqueous solution)",-,-,1,-
"Ammonium compound, benzyltrimethyl-- fluophosphate",-,-,-,
"Ammonium compound, bis(2-chloroethyl)ethyl-vinyl-- chloride",-,-,-,
"Ammonium compound, dodecyltrimethyl-- bromide",-,-,-,
"Ammonium compound, ethyldimethylocta-decyl-- bromide",-,-,2,1
"Ammonium compound, ethylhexadecyl-dimethyl-- bromide",-,-,3,1
"Ammonium compound, hexadecyltrimethyl-- bromide",-,-,1,1
"Ammonium compound, tetraethyl-- fluophosphate",-,-,-,
"Ammonium compound, tetramethyl-- chloride",-,-,-,
"Ammonium compound, trimethyloctadecyl-- pentachlorophenoxide",-,-,1,1
"Ammonium compound, tris(2-chloroethyl)- ethyl-- chloride",-,-,-,
Ammonium sulfamate,-,-,-,
Ammonium thiocyanate,-,-,1,1
Amyl alcohol,1,-,-,
Amylamine,-,-,1,-
"Amylamine, 1-butyl-",-,-,1,1
"Amylamine, 1, 3-dimethyl-",-,-,-,
"Amylamine, 1-methyl-",-,-,-,
Amyl ether,1,2,-,
Amyl nitrate,-,-,1,-
Amyl sulfide,-,-,-,
"Anamirta cocculus, berries, petroleum ether ext Anethole",-,-,1,-
"Anethole, from oil of anise",1,-,-,
"Anethole, from oil of pine",1,-,3,2
"Angelica lactone, dilactone, crystalline",-,-,2,1
"Angelica lactone, dilactone, crystalline, ethyl ester monolactone",1,1,-,-
"Angelica lactone, dilactone, crystalline, hydrogenated",1,2,-,-
"Angelica lactone, dilactone, liquid",1,2,-,-
"Angelica lactone, dilactone, liquid, ethyl ester monolactone",2,2,2,-
"Angelica lactone, dilactone, liquid, hydrogenated",1,2,-,-
"Aniline, fluosilicic acid complex (1:1/2 mol ratio)",-,-,-,-
"Aniline, N-allyl-",-,-,4A,2
"Aniline, N-allyl-2, 4-dinitro-",-,-,4A,-
"Aniline, N-benzhydrylidene-",-,-,1,-
"Aniline, N-benzylidene-",-,-,2,2
"Aniline, N-benzylidene-m-nitro-",-,-,-,-
"Aniline, p-bromo-",-,-,-,-
"Aniline, 4-bromo-2-nitro-",-,-,1,-
"Aniline, N-butenyl-",1,1,-,-
"Aniline, N-butyl-",-,-,4,-
"Aniline, N-tert-butyl-",-,-,1,-
"Aniline, m-chloro-",-,-,2,2
"Aniline, c-chloro-",-,-,1,-
"Aniline, p-chloro-",-,-,3,-
"Aniline, 2-chloro-4-nitro-",-,-,2,2
"Aniline, 4-chloro-2-nitro-",-,-,1,1
"Aniline, 3-chloro-4-phenoxy-",-,-,1,-
"Aniline, N,N-diallyl-",-,-,1,1
"Aniline, 3,5-dibromo-",-,-,4A,-
"Aniline, 2,5-dichloro-",-,-,1,1
"Aniline, 2,6-dichloro-4-nitro-",-,-,-,-
"Aniline, 2,5-diethoxy-",-,-,1,-
"Aniline, N,N-diethyl-p-(1,3-dioxolan-2-yl)-",-,-,1,1
"Aniline, N,N-diethyl-p-(4-methyl-1,3-dioxolan-2-yl)-",1,2,-,-
"Aniline, N,N-diethyl-p-nitroso-",-,-,1,-
"Aniline, 2, 5-dimethoxy-",-,-,4A,
"Aniline, N, N-dimethyl-",-,-,-,
"Aniline, N, N-dimethyl-p-(4-methyl-1,3-dioxolan-2-yl)-",2,2,4A,
"Aniline, N, N-dimethyl-p-(2-naphthylazo)-",-,-,1,
"Aniline, N, N-dimethyl-m-nitro-",-,-,1,
"Aniline, N, N-dimethyl-p-nitro-",-,-,-,
"Aniline, N, N-dimethyl-p-(2-nitropropenyl)-",-,-,1,
"Aniline, N, N-dimethyl-p-nitroso-",-,-,1,
"Aniline, N, N-dimethyl-p-(2-nitrovinyl)-",-,-,-,
"Aniline, N, N-dimethyl-p-phenylazo-",-,-,1,
"Aniline, N, N-dimethyl-p-phenylazo-, hydrochloride",-,-,-,
"Aniline, 2, 4-dinitro-",-,-,1,
"Aniline, o,o'-dithiodi-",-,-,2,
"Aniline, N-ethyl-",-,-,1,
"Aniline, N-ethyl-2, 4-dinitro-",-,-,-,
"Aniline, N-ethyl-N-nitroso-",-,-,2,
"Aniline, N-heptyl-",-,-,3,
"Aniline, o-iodo-",-,-,-,
"Aniline, N-isoamyl-",-,-,1,
"Aniline, N-isopropyl-2, 4-dinitro-",-,-,-,
"Aniline, p,p'-methylenebis(N,N-dimethyl-",-,-,1,
"Aniline, p,p'-methylenedi-",-,-,1,
"Aniline, N-methyl-m-nitro-",-,-,3,
"Aniline, N-methyl-p-nitro-",-,-,1,
"Aniline, N-methyl-N-nitroso-",-,-,-,
"Aniline, p-(methylsulfonyl)-",-,-,1,
"Aniline, o-nitro-",-,-,4A,
"Aniline, p-nitro-",-,-,1,
"Aniline, p,p'-oxydi-",-,-,-,
"Aniline, N-(2-phenoxyethyl)-",-,-,1,
"Aniline, p-phenylazo-",-,-,1,
"Aniline, p-phenylazo-, hydrochloride",-,-,-,
"Aniline, N-propyl-",-,-,1,
"Aniline, p,p'-sulfonyldi-",-,-,1,
"Aniline, N-(2-terpinyloxyethyl)-",-,-,-,
Anisaldehyde,2,-,1,
"Anisaldehyde, dibenzyl mercaptal",1,2,1,
"Anisaldehyde, diethyl acetal",1,2,-,
"Anisaldehyde, oxime",-,-,-,
"Anisaldehyde, alpha-methoxy-",-,-,3,
"Anisamide, N-allyl-",-,-,1,
"Anisamide, N-benzyl-",-,-,1,-
"Anisamide, N-cyclohexyl-",-,-,1,-
"Anisamide, N,N-diethyl-",-,-,1,-
"Anisamide, N,N-diisopropyl-",-,-,1,-
"Anisamide, N-ethyl-",-,-,-,-
"Anisamide, N-isobutyl-",-,-,1,-
"Anisamide, N-isopropyl-",-,-,1,-
"Anisamide, N-methyl-",-,-,-,-
"Anisamide, N-propyl-",-,-,1,-
Anisamide,-,-,-,-
"Anisamide, 4'-bromo-",-,-,-,-
"Anisamide, 2'-chloro-",-,-,1,-
"Anisamide, 3'-chloro-",-,-,1,-
"Anisamide, 4'-chloro-",-,-,1,-
"Anisamide, 2',5'-dichloro-",-,-,1,-
"Anisamide, 2'-methoxy-",-,-,1,-
"Anisamide, 2'-nitro-",-,-,1,-
"Anisamide, 4'-nitro-",-,-,-,-
Anisic acid,-,-,2,1
"Anisic acid, alpha-allyipiperonyl ester",-,-,1,-
"Anisic acid, amyl ester",1,2,-,-
"Anisic acid, o-bromophenyl ester",-,-,1,-
"Anisic acid, p-bromophenyl ester",-,-,1,-
"Anisic acid, butyl ester",2,2,3,1
"Anisic acid, p-tert-butylphenyl ester",-,-,1,-
"Anisic acid, 3-butynyl ester",-,-,1,1
"Anisic acid, o-chlorophenyl ester",-,-,1,-
"Anisic acid, cyclohexyl ester",-,-,1,-
"Anisic acid, o-cyclohexylphenyl ester",-,-,1,-
"Anisic acid, 2,4-dichlorophenyl ester",-,-,1,-
"Anisic acid, ethyl ester",1,2,-,-
"Anisic acid, p-ethylphenyl ester",-,-,1,-
"Anisic acid, isobutyl ester",2,2,4,-
"Anisic acid, isopropyl ester",4,3,4,-
"Anisic acid, p-methoxybenzyl ester",-,-,1,-
"Anisic acid, methyl ester",-,-,4,2
"Anisic acid, o-nitrophenyl ester",-,-,1,-
"Anisic acid, p-nitrophenyl ester",-,-,-,-
"Anisole, 2, 4-dinitro-",-,1,-,1
"Anisole, 3, 5-dinitro-",-,-,-,-
"Anisole, 2-iodo-5-nitro-",-,1,-,-
"Anisole, 2-isopropyl-5-methyl-",-,1,-,1
"Anisole, 5-isopropyl-2-methyl-",1,-,1,-
"Anisole, alpha-methoxy-p-methyl-",-,3,-,1
"Anisole, p-methyl-",1,-,1,-
"Anisole, 2-methyl-4, 6-dinitro-",-,2,-,2
"Anisole, 5-methyl-2, 4-dinitro-",-,1,-,1
"Anisole, 4-methyl-2-propenyl-",1,1,2,1
"Anisole, 4-methyl-2-propyl-",1,-,2,-
"Anisole, o-nitro-",-,-,-,-
"Anisole, p-nitro-",-,4A,-,4A
"Anisole, 4-nitro-2-phenyl-",-,1,-,1
"Anisole, p-(2-nitrovinyl)-",-,-,-,-
"Anisole, 2, 3, 4, 5, 6-pentachloro-",-,-,-,-
"Anisole, o-phenyl-",1,-,1,-
"Anisole, p-phenyl-",-,1,-,1
"Anisole, p-propyl-",1,-,3,-
"Anisole, p-(1, 1, 3, 3-tetramethylbutyl)-",-,1,-,-
"Anisole, p-(m-toloxy)-",1,-,2,-
"Anisole, 2, 4, 6-tribromo-",-,1,-,1
"Anisole, 2, 4, 5-trichloro-",-,1,-,1
"Anisole, 2, 4, 6-trichloro-",-,1,-,1
