MATERIAL,Repellent_cloth_YF,Repellent_skin_YF,Repellent_wash_YF,Repellent_space_YF
"Acetic acid, chloro-, (tetrahydropyran-2-yl)methyl ester",1,-,-,7
"Acetic acid, chloro-, tetramethylene ester",1,-,-,-
"Acetic acid, chloro-, m-tolyl ester",1,-,-,-
"Acetic acid, chloro-, Ï-tolyl ester",2,-,-,-
"Acetic acid, chloro-, Ï-tolyl ester",1,-,-,-
"Acetic acid, chloro-, 2,4,5-trichlorophenyl ester",1,-,-,-
"Acetic acid, chloro-, 1,3,3-trimethyl-2-norbornyl ester",1,-,-,-
"Acetic acid, chloro-, 2,2,4-trimethylpentyl ester",1,-,-,-
"Acetic acid, chloro-, 10-undecenyl ester",1,-,-,-
"Acetic acid, chloro-, undecyl ester",1,-,-,6
