Chemical,Repellent_skin_YF,Repellent_cloth_YF,
2-(beta-Cyanoethyl)-2-ethylbutyraldehyde,4,4,
2-(beta-Cyanoethyl)-2-ethylhexanal,4,N/A,
2-(beta-Cyanoethyl)-2-ethyl-3-hexenal,1,N/A,
"N-(beta-Cyanoethyl)imide of 3,6-endonethylene-H-cyclo-hexene-1,2-dicarboxylic acid",N/A,2,
1-(beta-Cyanoethyl)-1-propylidene acetone,2,4,
"2-Cyano-p-methoxycinnamic acid, ethyl ester",N/A,1,
1-Cyano-6-methyl-6-carbethoxy-cyclohexene,2,4,
"alpha-Cyanopropionic acid, cyclohexyl ester",2,4,
"alpha-Cyanopropionic acid, o-methylcyclohexyl ester",2,4,
"alpha-Cyanopropionic acid, m-methylcyclohexyl ester",2,4,
"alpha-Cyanopropionic acid, p-methylcyclohexyl ester",2,4,
alpha-Cyanostyrene,N/A,2,
"Cyanosuccinic acid, dimethyl ester",2,4,
"1-Cyano-2,2,4-trimethyl-pentanediol-1,3",N/A,1,
"alpha-Cyanovaleric acid, ethyl ester",N/A,2,
"Cyanuric acid, butyl ester",1,N/A,
"Cyanuric acid, methyl ester",N/A,1,
Cycloheptanone,N/A,1,
"1,3-Cyclohexadione",1,N/A,
Cyclohexane,1,N/A,
Cyclohexanecarboxylic acid (Napthenic acid),2,4,
"Cyclohexanecarboxylic acid, cyclohexyl ester",2,N/A,
"Cyclohexanecarboxylic acid, methyl ester",1,N/A,
Cyclohexane beta-cyanoethyl ether,1,3,
"Cyclohexane-1,1-dicarboxylic acid, diethyl ester",2,2,
"1,2-Cyclohexanediol (cis and trans)",N/A,2,
"1,2-Cyclohexanediol (trans)",N/A,1,
"1,3-Cyclohexanediol (mixture of cis and trans)",2,4,
"1,4-Cyclohexanediol (cis)",N/A,1,
1-(Cyclohexane-2-ol)butanol,4,4,
Cyclohexanol,1,N/A,
Cyclohexanol-1-carboxylic acid,N/A,1,
"Cyclohexan-1-ol-1-carboxylic acid, iso-amyl ester",4,3,
"Cyclohexane-2-o1-l-carboxylic acid, n-butyl ester",2,4,
"Cyclohexan-1-o1-l-carboxylic acid, cyclohexyl ester",4,4,
"Cyclohexan-1-o1-l-carboxylic acid, cyclopentyl ester",4,4,
"Cyclohexanol-1-carboxylic acid, 2-ethylbutyl ester",2,N/A,
"Cyclohexanol-1-carboxylic acid, 2-hydroxyethyl ester",1,N/A,
"Cyclohexanol-1-carboxylic acid, 3-hydroxypropyl ester",1,N/A,
"Cyclohexan-1-o1-l-carboxylic acid, n-propyl ester",2,N/A,
1-(cyclohexane-2-o1)propanol,3,N/A,
Cyclohexanone,1,N/A,
1-(cyclohexane-2-one)butanol,2,4,
Cyclohexanone dibutyl ketal,1,N/A,
Cyclohexanone glyceryl acetal,4,3,
Cyclohexanone ozime,N/A,2,
Cyclohexanone semicarbazone,N/A,N/A,
Cyclohexene,1,N/A,
3-Cyclohexenecarbonitrile,N/A,1,
"4-Cyclohexene-1,2-dicarboxylic acid, di-2-chloroallyl ester",1,N/A,
"4-Cyclohexene-1,2-dicarboxylic acid, dimethyl ester",3,3,
1-Cyclohexenylacetonitrile,2,1,
(1-Cyclohexenyl)allyl-acetonitrile,1,N/A,
2-Cyclohexenylcyclohexanol,4,N/A,
"(1-Cyclohexenyl)-methylcyano-acetic acid, ethyl ester",1,N/A,
"2-Cyclohexenylsuccinic acid, dibutyl ester",1,N/A,
"o-Cyclohexoxybenzoic acid, cyclohexyl ester",1,N/A,
"Cyclohexylacetic acid, beta-butoxyethyl ester",1,N/A,
"Cyclohexylacetic acid, cyclohexyl ester",1,N/A,
"Cyclohexylacetic acid, diethylene glycol monoester",N/A,N/A,
"Cyclohexylacetic acid, methyl ester",N/A,N/A,
"Cyclohexylacetic acid, tetrahydrofurfuryl ester",2,N/A,
Cyclohexylaldehyde,N/A,N/A,
Cyclohexylamido chlormaleic acid,N/A,N/A,
Cyclohexylamido maleic acid,N/A,N/A,
Cyclohexyl iso-cmyl ethylene glycol ether,1,N/A,
2-Cyclohexylanisole,1,N/A,
p-Cyclohexylanisole,N/A,1,
N-Cyclohexylbenzamide,N/A,N/A,
Cyclohexyl benzyl ether,2,N/A,
"l-Cyclohexyl-1,3-butanediol",2,4,
4-Cyclohexylbutanoic acid,2,4,
N-Cyclohexyl butoxyacetamide (Indimide),4,4,
N-Cyclohexyl beta-butoxyethoxyacetamide,2,N/A,
delta-Cyclohexylbutyl cyclohexyl ether,N/A,N/A,
"gamma-Cyclohexylbutyric acid, h-cyclohexyl-1-butyl ester",1,N/A,
"alpha-Cyclohexylbutyric acid, ethyl ester",1,N/A,
"gamma-Cyclohexylbutyric acid, ethyl ester",1,N/A,
"Cyclohexylbutyric acid, methyl ester",1,N/A,
"alpha-Cyclohexylbutyric acid, methyl ester",1,N/A,
"alpha-Cyclohexylbutyric acid, propyl ester",1,N/A,
"epsilon-Cyclohexylcaproic acid, ethyl ester",1,N/A,
"Cyclohexylcaproic acid, methyl ester",1,N/A,
"N-Cyclohexyl carbamic acid, diethyleneglycol ester",N/A,N/A,
Cyclohexylcarbinol,1,N/A,
"alpha-Cyclohexyl-alpha-cyanocactic acid, allyl ester",1,N/A,
"Cyclohexylcyanocactic acid, benzyl ester",1,N/A,
"alpha-Cyclohexyl-alpha-cyanocactic acid, cyclohexyl ester",1,N/A,
"Cyclohexylcyanocactic acid, 2-ethoxyethyl ester",2,N/A,
"Cyclohexylcyanocactic acid, ethyl ester",4,N/A,
"alpha-Cyclohexyl-alpha-cyanocactic acid, methyl ester",1,N/A,
"alpha-Cyclohexyl-alpha-cyanocactic acid, propyl ester",2,N/A,
"alpha-Cyclohexyl-alpha-cyanocactic acid, iso-propyl ester",2,N/A,
"1-Cyclohexyl-1,2-cyclohexanediol",3,N/A,
2-Cyclohexylcyclohexanol,4,N/A,
4-Cyclohexylcyclohexanol,N/A,1,
2-Cyclohexylcyclohexanone,2,3,
4-Cyclohexylcyclohexanone,2,4,
1-Cyclohexylcyclohexene-1,2,4,
N-Cyclohexyl-epsilon-cyclohexylcaproamide,N/A,2,
N-Cyclohexyl-6-cyclohexyl-2-hexenamide,N/A,1,
"2-Cyclohexyl-4,6-dichloroemisole",N/A,1,
Cyclohexyl diethylene glycol monother,2,4,
x-Cyclohexyl diphenyl,1,N/A,
x-Cyclohexyldiphenylamine (A),1,N/A,
x-Cyclohexyl diphenylamine (B),N/A,N/A,
x-Cyclohexyl diphenyl ether,1,N/A,
Cyclohexyl dipropylene glycol monother,4,4,
beta-Cyclohexylethanol,3,2,
N-Cyclohexyl-beta-ethoxyethoxyacetamide,2,N/A,
N-Cyclohexyl-N-furfurylideneamine,N/A,2,
"N-Cyclohexylglycine, ethyl ester",N/A,2,
"6-Cyclohexyl-2-hexenoic acid, ethyl ester",1,N/A,
"6-Cyclohexyl-2-hexenoic acid, methyl ester",2,1,
"6-Cyclohexylhexenoic acid, n-propyl ester",1,N/A,
"6-Cyclohexylhexenoic acid, iso-propyl ester",1,N/A,
"Cyclohexylidenecyanoacetic acid, methyl ester",2,4,
2-Cyclohexylidenecyclohexanone,3,N/A,
Cyclohexylidenephenyl-acetonitrile,1,N/A,
"N-Cyclohexyl imide of bicyclo-(2,2,2)-1-iso-propyl-4-methyl-5-octene-2,3-dicarboxylic acid",N/A,1,
"N-Cyclohexyl imide of 1,2-dicarboxy-3,6-endomethylene-4-cyclohexone",N/A,1,
"Cyclohexylmalonic acid, diethyl ester",1,1,
N-Cyclohexyl methalloxyacetamide,4,3,
N-Cyclohexyl-n-nitrobenzamide,N/A,1,
o-Cyclohexylphenetole,N/A,1,
o-Cyclohexylphenol,N/A,4,
p-Cyclohexyl phenol,N/A,1,
2-(L-Cyclohexylphenoxy)ethanol,N/A,N/A,
N-(2-(4-Cyclohexylphenoxy)ethoxy)ethyl)-di-n-butylamine,2,1,
N-(2(2-Cyclohexylphenoxy)ethyl)cyclohexylamine,2,1,
2-(2-Cyclohexylphenoxy)-2'-iododiethyl ether,N/A,N/A,
x-(2-Cyclohexylphenoxy)-x-propanol,N/A,N/A,
alpha-Cyclohexylphenyl-acetonitrile,N/A,1,
x-Cyclohexyl-2-phenyl diphenyl ether,N/A,1,
Cyclohexyl phenyl ketone,3,4,
N-Cyclohexyl-N-phenyl-propionamide,N/A,N/A,
N-Cyclohexylphthalimide,N/A,1,
"3-Cyclohexyl-1,2-propanediol",2,4,
"Cyclohexylpropionic acid, allyl ester",2,4,
"Cyclohexylpropionic acid, butyl ester",2,N/A,
"Cyclohexylpropionic acid, ethyl ester",1,N/A,
"Cyclohexylpropionic acid, beta-methoxyethyl ester",2,4,
gamma-Cyclohexylpropyl n-butyl ether,N/A,1,
beta-Cyclohexylpropyl cyclo-hexyl ether,N/A,N/A,
N-Cyclohexylpyromucamide,N/A,N/A,
p-Cyclohexylsulfamylacetamilide,N/A,N/A,
"N-Cyclohexyl-1,2,3,6-tetrahydrophthalimide",N/A,1,
Cyclohexyl 2-thienyl ketone,1,N/A,
"Cyclopentane carboxylic acid, methyl ester",1,N/A,
"Cyclopentane-1,1-dicarboxylic acid, diethyl ester",2,N/A,
"Cyclopentan-1-l-l-carboxylic acid, iso-amyl ester",3,N/A,
"Cyclopentan-1-l-l-carboxylic acid, cyclohexyl ester",4,N/A,
"Cyclopentan-1-l-l-carboxylic acid, cyclopentyl ester",4,N/A,
"Cyclopentan-1-l-carboxylic acid, n-propyl ester",2,N/A,
"Cyclopentanone-alpha-carboxylic acid, ethyl ester",2,N/A,
Cyclopentanone glycerol,2,4,
2-(1'-Cyclopentanyl) cyclopentanone,N/A,3,
"1-Cyclopentenylmalonic acid, diethyl ester",4,N/A,
"Cyclopentylidenecyanoacetic acid, methyl ester",3,4,
"Cyclopentylmalonic acid, diethyl ester",1,N/A,
"Cyclopropane-1,1-dicarboxylic acid, di-n-amyl ester",2,2,
"Cyclopropane-1,1-dicarboxylic acid, di-n-butyl ester",2,N/A,
"Cyclopropane-1,1-dicarboxylic acid, diethyl ester",2,1,
"Cyclopropane-1,1-dicarboxylic acid, di-n-propyl ester",3,N/A,
Cyclopropyl nitrile,1,N/A,
p-Cymene,1,N/A,
p-Cymene chloral condensate,1,N/A,
levo-Cystine,N/A,N/A,
Darco C-60 (activated carbon),N/A,N/A,
Decahydronaphthalene,1,N/A,
Decahydro-2-naphthol,N/A,4,
Decahydro-2-naphthol (cis) (mp. 103?),N/A,1,
n-Decaldehyde,N/A,4,
alpha-Decalol,2,4,
beta-Decalol (nixture of isomers),N/A,1,
beta-Decalol (impure),4,4,
alpha-Decalone,2,4,
2-Decalone (mainly cis),N/A,3,
trans-beta-Decalone,2,1,
Decamethylene bromide,1,N/A,
Decamethylene glycol,N/A,1,
"Decanediol-2,4",4,4,
"Decanediol-3,5",2,4,
n-Decane nitrile,1,N/A,
l-Decanethiol,2,2,
"Decanoic acid, amyl ester",1,N/A,
"Decanoic acid, butanomyl ester",2,4,
"Decanoic acid, tetrahydrofur-furyl ester",1,N/A,
Decanol-2,N/A,1,
Decanol-4-one-2,N/A,3,
n-Decyl alcohol,1,N/A,
N-Decyl amido chlormaleic acid,N/A,1,
N-Decyl amido maleic acid,N/A,1,
4-Decylcatechol,N/A,1,
n-Decyl carboethoxymethyl sulfone,1,N/A,
n-Decyl carbomethoxymethyl sulfone,1,N/A,
4-Decyl-6-chlororescorcinol,N/A,1,
"beta-n-Decyloxypropionic acid, n-decyl ester",1,N/A,
"Dehydroacetic acid, (""Dehydranone"")",N/A,4,
Dehydrocoumarin,N/A,1,
"Deltyl extra (Wyristic acid, iso-propyl ester--small quantities of iso-propyl laurate and palmitate",1,N/A,
"Deltyl prime (Lauric acid, iso-propyl ester--with small quantities of iso-propyl myristate and palmitate)",1,N/A,
"Derris resinate 20%, regular",N/A,1,
Desoxybenzoin,N/A,4,
Dextrin,N/A,N/A,
"Dextrose (Glucose), anhydrous",N/A,1,
Diacetohydroquinone,2,N/A,
Diacetone alcohol,1,1,
Diacetone cyanohydrin,N/A,1,
"Diacetosuccinic acid, diethyl ester",N/A,3,
Di(1-acetoxycyclohexyl) acetylene,1,N/A,
Di(2-acetoxyethyl)sulfone,1,N/A,
"2,2'-Diacetoxy-N-methyl-diethylamine",2,2,
"1,10-Diacetoxyoctadecane",2,1,
Diacetyl,N/A,N/A,
Diacetyl benzidine,N/A,N/A,
"Diacetyltartaric acid, di-n-amyl ester",1,N/A,
"Diacetyltartaric acid, di-n-butyl ester",1,N/A,
"Diacetyltartaric acid, diethyl ester",N/A,1,
"Diacetyltartaric acid, di-iso-propyl ester",N/A,1,
Dialkyl benzyl ethers,N/A,N/A,
"N,N-Diallylaniline",N/A,1,
Diallylbarbituric acid,N/A,2,
Diallyl bromoacetal,N/A,1,
Diallyl crotonal,N/A,2,
"2,2-Diallylcyclohexanol",N/A,1,
"2,2-Diallylcyclohexanone",1,N/A,
Diallyl ether,1,1,
"Diallylmalonic acid, diethyl ester",1,N/A,
Diallyl p-phenylenedioxydiacetate,1,N/A,
"4,4'-Diaminobenzophenone",N/A,N/A,
"2,4-Diaminodiphenyl amine",N/A,1,
"4,4'-Diamino diphenyl amine",N/A,N/A,
"4,4'-Diaminodiphenyl sulfone",N/A,1,
"I,3-Diamino-2-ethylhexane",N/A,2,
"I,3-Diamino-2-n-propylheptane",N/A,2,
"N,N-Diamylacetamide",N/A,N/A,
"N,N-Di-iso-amylacetamide",4,4,
Di-n-amylacetic acid,1,N/A,
"alpha-(Diamylaminonethy1)-1,2,3,4-tetrahydro-9-phenanthrene-methanol, hydrochloride",N/A,1,
"beta-Diamylaminopropionic acid, dipentene carbinol ester (hydrogenated)",1,N/A,
Diamylbenzene,1,N/A,
"2,2-Di-n-amyl-1,2-benzopyran",1,N/A,
"N,N-Di-iso-amyl-n-butyramide",1,N/A,
"2,4-Diamylcyclohexanol",1,N/A,
Diamyl ether,1,N/A,
Di-iso-amyl ether,1,N/A,
"N,N-Diamyl-glucose, ethyl ester",2,2,
Diamylhydroquinone,N/A,1,
Di-n-amyl ketone,2,N/A,
"Di-n-amylmalonic acid, diethyl ester",1,N/A,
Diamylnaphthalene,1,N/A,
Diamyl-beta-naphthol,N/A,N/A,
"I,3-Di(iso-amyloxy)-2-methylpropane",2,1,
"2,4-Diamyl phenol",1,N/A,
(Diamylphenoxy)ethanol,N/A,1,
Di-tert-amylphenoxyethanol,1,N/A,
"N,N-Di-iso-amylpropionamide",N/A,1,
"N,N-Diamylsteramide",1,N/A,
"N,N-Diamylsuccinamic acid, ethyl ester",1,N/A,
"N,N-Diamylsuccinamic acid, n-propyl ester",1,N/A,
"N,N-Diamyl-p-toluenesulfonamide",1,N/A,
"N,N-Di-n-amylurethane",1,N/A,
Dianisalacetone,N/A,1,
Dianisidine,N/A,1,
n-Dianisyl,1,N/A,
Dianisyl ether,N/A,1,
Dianol II (dimer of para-Hydroxycinnamyl),1,N/A,
Diazaminobenzene,N/A,2,
Dibenzalacetone,N/A,N/A,
Dibenzoidoxin,N/A,N/A,
Dibenzoithiophene,N/A,1,
Dibenzoithiophene-5-dioxide,N/A,N/A,
Dibenzoyl disulfide,N/A,2,
trans-Dibenzoyl ethylene,N/A,1,
"N,N-Dibenzylmethanediamine",N/A,N/A,
"N,N-Dibenzylacetamide",N/A,1,
"Dibenzylacetic acid, ethyl ester",2,2,
Dibenzylaminoethanol,N/A,2,
Dibenzyl aniline,N/A,1,
"N,N-Dibenzylbenzamide",N/A,N/A,
Dibenzyl carbinol,1,N/A,
Dibenzyl ether,4,3,
"N,N'-Dibenzylfumaramide",N/A,1,
Dibenzyl ketone,1,N/A,
"Dibenzylmalonic acid, diethyl ester",1,N/A,
Dibenzyl sulfone,N/A,1,
"alpha,alpha'-Dibromoadipic acid, diethyl ester (racemic)",N/A,1,
"alpha,alpha'-Dibromozelnic acid, diethyl ester",2,4,
o-Dibromobenzene,1,N/A,
p-Dibromobenzene,N/A,1,
"4,4'-Dibromobenzenesulfon-anilide",N/A,N/A,
"1,1-Dibromo 2,2-bis(p-bromo-phenyl)ethane",N/A,N/A,
"1,1-Dibromo 2,2-bis(p-chloro-phenyl)ethane",N/A,N/A,
"alpha, beta-Dibromocinnamic acid, ethyl ester",1,N/A,
"2,5-Dibromo-o-cresol",N/A,N/A,
"4,6-Dibromo-o-cresol",N/A,4,
"1,2-Dibromo-1,2-dicarbethoxy-cyclobutane",2,4,
"alpha,alpha'-Dibromo-beta,beta-dimethylglutaric acid, diethyl ester",N/A,1,
"4-(1,2-Dibromoethyl) toluene",N/A,1,
"beta,delta-Dibromolevulinic acid",N/A,1,
"Dibromomalonic acid, diethyl ester",N/A,N/A,
"2,4-Dibromo-alpha-naphthol",N/A,1,
"alpha,beta-Dibromo-beta-nitro-ethylbenzene",N/A,N/A,
"2,6-Dibromo-4-nitrophenol",N/A,N/A,
"alpha,alpha'-Dibromopimelic acid, diethyl ester",1,N/A,
"alpha,alpha'-Dibromosebacic acid, diethyl ester",2,2,
"alpha,alpha'-Dibromosuberic acid, diethyl ester",1,1,
"2,5-Dibromothiophene",N/A,1,
"x,x-Dibromotoluene",2,1,
Di-n-butoxymethane,N/A,1,
Di-(2-butyoxyethyl)sulfone,1,N/A,
"N,N-Dibutylacetamide",3,3,
"N,N-Di-iso-butylacetamide",N/A,2,
"N,N-Di-sec-butylacetamide",2,2,
"N,N-Dibutylacetoacetamide",2,4,
"N,N-Di-iso-butylacetoacetamide",2,4,
"N,N-Dibutylbenzamide",2,N/A,
"N,N-Di-iso-butylbenzamide",N/A,N/A,
p-Di-tert-butylbenzene,N/A,1,
"N,N-Dibutylbenzenesulfonamide",1,N/A,
"2,2-Di-n-butyl-1,2-benzozyran",1,N/A,
Di-iso-butyl bromoacetal,N/A,1,
Dibutyl iso-butylcarbinol,1,N/A,
Di-n-butylcarbinol,1,N/A,
"1,3-Di-(4-tert-butyl-2-chloro-phenoxy)-2-methylpropane",N/A,1,
"N,N-Dibutylcinnamamide",1,N/A,
Di-iso-butylcresoxyethoxyethyl dimethyl benzyl ammonium chloride (Hyamine 10-X) (25% aqueous solution),N/A,N/A,
"N,N-Dibutyl-N'-cyclopenta-methylenesulfamide",2,N/A,
"Dibutyldithiocarbanic acid, sodium salt (residue)",N/A,2,
Dibutyl ether,N/A,N/A,
Dibutyl ethylene glycol diphthalate,1,N/A,
Di-(butyl ethylene glycol ether)1 glycol diphthalate,1,N/A,
"N,N-Di-n-butyl furoamide",2,N/A,
"N,N-Di-n-butylfurylacrylamide",1,N/A,
Di-iso-butyl ketone acetal,N/A,1,
Di-iso-butyl ketone,1,1,
"N,N-Dibutyllauramide",1,N/A,
Di-tert-butyl methylal,1,N/A,
"Di-tert-butylnaphthalene (not oriented, m.p.'103? C.)",N/A,N/A,
"Di-tert-butylnaphthalene (not oriented, m.p. 145? C.)",N/A,1,
"N,N-Dibutyl-m-nitrobenzamide",1,N/A,
"N,N-Di-iso-butyl-m-nitrobenzamide",1,N/A,
"N,N-Dibutyl-N'-4-oxacyclopenta-methylenesulfamide",4,N/A,
p-Di-iso-butylphenol (Hesterol),N/A,1,
p-Di-iso-butylphenoxyethanol,2,2,
p-Di-iso-butylphenoxyethoxyethoxyethanol,1,N/A,
p-Di-iso-butylphenoxyethoxyethoxyethyl chloride,1,N/A,
p-Di-iso-butylphenoxyethoxy-ethyl chloride,N/A,1,
p-Di-iso-butylphenoxyethoxy-ethyl dimethyl amine,N/A,1,
Di-iso-butylphenoxyethoxyethyl dimethyl benzyl ammonium chloride (hyamine 1622) (25% aqueous solution),N/A,2,
"N,N-Di-iso-butylphthalamide acid, methyl ester",2,1,
"N,N-Dibutylpropiomamide",2,1,
"N,N-Dibutylsuccinamic acid, ethyl ester",3,1,
"N,N-Di-iso-butylsuccinamic acid, ethyl ester",1,N/A,
"N,N-Di-iso-butylsuccinamic acid, methyl ester",2,4,
"N,N-Di-n-butylsuccinamic acid, n-propyl ester",1,N/A,
Di-n-butyl sulfone,N/A,4,
Di-iso-butylsulfone,3,4,
Di-tert-butyl sulfone,N/A,3,
"1,2-Di-(tert-butylsulfonyl) ethane",N/A,1,
s-Dibutylthiourea,N/A,1,
"N,N-Di-n-butyltoluenesulfonamide",1,N/A,
"N,N-Di-iso-butyl-p-toluene-sulfonamide",N/A,N/A,
Di-N-butylurethane,1,N/A,
"alpha,alpha'-Dicarboethoxyazelate acid, diethyl ester",1,N/A,
"trans-1,2-Dicarboethoxy bicyclo-(2,2,1)heptene-5",2,N/A,
"0,0-Dicarboethoxy-1,3-cyclohexanidol",1,N/A,
"alpha,alpha'-Dicarboethoxy-alpha,alpha'-dimethyladipic acid, diethyl ester",N/A,1,
"4,5-Dicarboethoxy-2,2-dimethyl-1,3-dioxolane",1,N/A,
Di-(beta-carboethoxyethyl) methylamine,2,4,
"alpha,alpha'-Dicarboethoxy-gluteric acid, diethyl ester",1,N/A,
"gamma,gamma-Dicarboethoxy-pimelonitrile",N/A,1,
Dicarboethoxyurethane,4,4,
"trans-1,2-Dicarbo methoxy bicyclo-(2,2,1)heptene-5",2,4,
"4,5-Dicarbo methoxy-2,2-tetramethylene-1,3-dioxolane",1,N/A,
"9,9-Di-(beta-carboxyethyl) fluorene",N/A,N/A,
"9,9-Di-(beta-carboxyethyl) fluorene, dilutyl ester",N/A,1,
"4,4-Dicarboxyleptane,2,6-dilactone",N/A,1,
"1,3-Di-(carboxymethoxy)-4-heptylbenzene",1,N/A,
"alpha-alpha'-Dicarboxypropion-aldehyde, diethyl ester",1,N/A,
"3,4-Dichloroacetophenone",N/A,4,
"2,6-Dichloro-4-tert-amylphenol",N/A,4,
"2,5-Dichloroaniline",N/A,1,
"p,p'-Dichloroazoxybenzene",N/A,1,
o-Dichlorobenzene,N/A,1,
p-Dichlorobenzene,N/A,1,
"p,p'-Dichlorobenzhydryl n-butyl ether",1,N/A,
"4,4'-Dichlorobenzhydryl chloride",N/A,2,
"p,p'-Dichlorobenzhydryl ethyl ether",1,N/A,
"p,p'-Dichlorobenzhydryl methyl ether",N/A,1,
"p,p'-Dichlorobenzhydryl n-propyl ether",1,N/A,
"3,4-Dichlorobenzoid acid",N/A,N/A,
"p,p'-Dichlorobenzophenone",N/A,1,
"p,p'-Dichlorobenzophenone oxime, N-ethyl ether",N/A,1,
"x,x-Di-(x-chlorobenzyl)chlorobenzene",1,1,
"2,4-Dichlorobenzylcyanide",N/A,3,
"3,4-Dichlorobenzylcyanide",N/A,1,
"3,4-Dichlorobenzyl methyl ether",2,N/A,
"1,1-Dichloro-2,2-bis-(p-bromo-phenyl)ethylene",N/A,N/A,
"1,1-Dichloro-2,2-bis(p-chloro-phenyl)ethane",N/A,1,
"1,1-Dichloro-2,2-bis(p-chloro-phenyl)ethylene",N/A,N/A,
"alpha,alpha-Dichlorobutyramid",N/A,4,
"1,1-Dichloro-2-o-chlorophenyl-2-o-chlorophenyl ethane",N/A,N/A,
"x-Dichloro-1,1-di(x-chloro-phenyl)ethane",N/A,N/A,
"4,4'-Dichloro-2,2'-dinitro-diphenyl",N/A,1,
"4,4'-Dichloro-2,2'-dinitro-diphenyl disulfide",N/A,N/A,
"4,4'-Dichlorodiphenyl",N/A,1,
x-Dichlorodiphenyl ether,1,N/A,
"1,1-Dichloro-2,2-diphenyl ethylene",N/A,1,
"2,4'-Dichlorodiphenylmethane",1,N/A,
"4,4'-Dichlorodiphenyl sulfide",N/A,1,
"p,p'-Dichlorodiphenyl sulfone",N/A,N/A,
"4,4'-Dichlorodiphenyl sulfoxide",N/A,N/A,
Dichloroethyl ether,N/A,1,
s-Di-beta-chloroethyl urea,N/A,2,
Dichlorohydroquinone bis(ethylcarbonate),N/A,1,
"Dichlorolexulinic acid, ethyl ester",N/A,N/A,
"Dichloromaleic acid, dimethyl ester",N/A,N/A,
"4,5-Dichloro-3-methylquinoline",N/A,1,
"2,4-Dichloro-1-naphthol",N/A,1,
"2,3-Dichloro-1,4-naphthoquinone",N/A,1,
"2,6-Dichloro-4-nitroaniline",N/A,N/A,
"1,4-Dichloro-2-nitrobenzene",N/A,N/A,
"3,4-Dichloronitrobenzene",N/A,N/A,
"1,1-Dichloro-1-nitroethane (Ethide)",N/A,1,
"2,6-Dichloro-4-nitrophenol",N/A,2,
"1,1-Dichloronitropropane",1,N/A,
"2,4-Dichloroxanilic acid, ethyl ester",N/A,1,
"2,5-Dichloro-3,4-oxyadipic acid, dibutyl ester",1,N/A,
"2,4-Dichlorophenetole",N/A,1,
"2,4-Dichlorophenol",N/A,N/A,
"2,4-Dichlorophenoxyacetic acid",N/A,1,
"1-(2,4-Dichlorophenoxy)-2,3-epoxypropane",N/A,1,
"2(2,4-Dichlorophenoxy)ethenol",N/A,4,
"1,2-Di-(2-(4-chlorophenoxy)ethoxy)ethane",N/A,1,
Di-(2-(4-chlorophenoxy)ethyl)ether,N/A,1,
"1-(2,4-Dichlorophenoxy)-2,3-propanediol",N/A,2,
"alpha,p-Dichlorophenylacetamide",N/A,N/A,
Di-o-chlorophenyl acetonitrile,N/A,4,
"4-(2,5-Dichlorophenylazo)-o-cresol",N/A,1,
"4-(2,5-Dichlorophenylazo)-n-cresol",N/A,1,
"4-(2,5-Dichlorophenylazo)resorcinol",N/A,N/A,
"x-(2,4-Dichlorophenyl)ethyl alcohol",2,1,
Di-(p-chlorophenyl)nethyl carbinol,N/A,1,
"1,3-Di-(x-chlorophenyl)-2-methylpropane",1,N/A,
"beta-(o,p-Dichloro-o-phenyl-phenoxy)ethanol",1,N/A,
"N-(2,5-Dichlorophenyl)phthalimide",N/A,1,
x-Dichlorophenyl xenyl ether,1,N/A,
"alpha,alpha-Dichloropropionamide",N/A,2,
"alpha,beta-Dichloropropionamide",N/A,1,
"alpha,beta-Dichloropropionic acid, methyl ester",N/A,1,
"1,3-Dichloropropylene and 1,2-dichloropropane plus other impurities (Shell D-D)",N/A,N/A,
"2,3-Dichloropropyl ethylene glycol monoether",3,N/A,
"3,4-Dichlorotoluene",1,N/A,
Di(p-chlorotolyl) trichloroethane,N/A,1,
"3,5-Dichloro-2-xenyl ethyl ether",1,N/A,
Dicresoxy diethyl ether,2,1,
Dicresoxytetra glycol,2,N/A,
Dicresoxy triethylene glycol,1,N/A,
"2,2'-Dicyanodithylamine",N/A,N/A,
"alpha,beta-Dicyano-iso-valeric acid, ethyl ester",2,N/A,
"1,2-Di-(cyclohexane-1-ol)ethane",N/A,1,
Dicyclohexyl,1,N/A,
Dicyclohexylamido chloromaleic acid,N/A,N/A,
Dicyclohexylamido maleic acid,N/A,N/A,
2-(Dicyclohexylamino)ethanol,2,4,
"N,N-Dicyclohexylbenzamide",N/A,N/A,
"N,N-Dicyclohexylcarbamic acid, ethyl ester",1,N/A,
"N,N-Dicyclohexylcarbamic acid, methyl ester",N/A,1,
Dicyclohexylcarbinol,N/A,2,
Dicyclohexyl carbodiinide,1,N/A,
Di-(2-cyclohexylethyl) ether,1,N/A,
Dicyclohexyl formal,2,1,
Dicyclohexyl ketone,3,4,
"N,N-Dicyclohexyl-m-nitrobenzamide",N/A,1,
"1,3-Di-(4-cyclohexylphenoxy) propane",N/A,1,
Di-(3-cyclohexylpropyl)ether,1,N/A,
Dicyclopentadiene,N/A,2,
Dicyclopentenyl alcohol,4,3,
Didecyl sulfide,1,N/A,
"1,2-Di-(decylsulfonyl)ethane",N/A,1,
Di-(dicyclopentenyl) ethylene glycol ether,1,N/A,
"4,4'-Di-(dimethylamino)diphenyl- methane",N/A,1,
"Di-(3,5-dimethylphenyl) diethylene glycol ether",N/A,1,
Didodecyl ether,1,N/A,
Diethanol m-chloroaniline,N/A,1,
Diethanol m-toluidine,N/A,1,
Di-(2-ethoxyanyl)amine,N/A,N/A,
"3,4-Diethoxybenzaldehyde",2,4,
"2,3-Diethoxy-1,3-butadiene",1,N/A,
